product_id,product_name,category,price,stock
1,"Monitor Gaming Curved 24""",Elektronik,2500000,10
2,Webcam Full HD,Elektronik,650000,25
3,Microphone USB Condenser,Elektronik,800000,15
4,Smart Air Purifier,Smart Home,1800000,12
5,Humidifier Diffuser,Smart Home,350000,40
6,Smart Door Lock,Smart Home,1200000,8
7,Tenda Camping 4 Orang,Outdoor,750000,20
8,Sleeping Bag Polar,Outdoor,200000,50
9,Kompor Camping Portabel,Outdoor,150000,30
10,Air Fryer 3L,Dapur,950000,15
11,Timbangan Digital Dapur,Dapur,85000,100
12,Set Pisau Keramik,Dapur,250000,45
